채용공고고유번호,경력년수정보명,해당채용공고키워드명,조회수,기업명,채용공고제목,업종직종정보명,경력조건정보명,급여수준정보명,학력제한정보명,데이터기준일자,데이터기준일자2
38003508,,"메뉴개발, 양식당, 패밀리레스토랑",0,㈜라본테이블,1동탄;2동탄 레스토랑 신입; 경력직 홀서비스팀; 주방팀 정직원 채용공고,,관계없음,290000,학력무관,2021-05-02,2021
38410427,2년 이상,"보습학원, 수학",0,수학의 기적학원,중등부 수학 강사 구합니다,,경력,290000,대졸(4년),2021-08-01,2021
38002335,,"꽃집, 배달, 배송",0,현주화원,장례제단장식전문 현주화원에서 제단배송기사 및 제작기사 모집합니다.,,관계없음,290000,학력무관,2021-05-02,2021
38003600,1년 이상,"조리사, 양식당, 일식당",0,오지상함박스테이크 스타필드고양점,주방/경력/스타필드고양/함박스테이크전문점,,경력,290000,학력무관,2021-05-03,2021
39587934,1년 이상,"자동제어, 전기, 전기공사",0,콘솔,제어판넬 배선 및 하네스 작업,전기·전자·제어; 전기·전자·제어; 기계설계·CAD·CAM,경력,290000,고졸,2021-11-02,2021
38003839,1년 이상,"배관, 단순직, 물탱크청소",0,DMC하우징,배관 고압세정 및 오;배수 청소 직원모집,,경력,290000,학력무관,2021-05-03,2021
38000703,1년 이상,"건설, 건설안전, 산업안전",0,프라이드 안전,경기과천 지식산업센터 현장 안전감시단 모집,,경력,290000,학력무관,2021-05-01,2021
37755079,1년 이상,"PCB SMT OP, 메카트로닉스, 자동차",0,㈜다이든,[LG;현대 1차/기숙사/통근버스] PCB SMT OP / 검사 사원 인원 모집,,경력,290000,학력무관,2021-04-03,2021
39323024,,"보습학원, 수학",0,수학의 기적학원,중등부 수학 강사 구합니다,학원·어학원·교육원; 보습학원·입시학원,관계없음,290000,대졸(4년),2021-10-03,2021
38394492,,"중식당, 요리사, 조리사",0,형제,홍콩식당 꺼거에서 주방 팀원(BOH)을 모집합니다.,,관계없음,290000,학력무관,2021-07-31,2021
38283257,2년 이상,"카페, 바리스타",0,더 스틸(THE STEEL),더스틸과 함께  즐겁고 신나게 일할 바리스타를 구합니다,,경력,290000,학력무관,2021-07-02,2021
39573026,,"배송, 설치",0,삼우에프앤지,삼성 가전제품 설치기사 모집합니다.,물류·운송·배송; 설치·정비·A/S,관계없음,290000,학력무관,2021-11-01,2021
39340825,1년 이상,"제지, 운전기사",0,일성포장,5톤 윙바디 화물차 기사님 모십니다.,목재·제지·가구; 운전·기사,경력,290000,학력무관,2021-11-02,2021
39558272,,"음식료, 퓨전푸드, 한식당",0,신복관,신복관 동탄호수점 주방이모,음식료·외식·프랜차이즈; 요리·영양·제과제빵·바리스타,관계없음,290000,학력무관,2021-11-01,2021
39079389,,"메뉴개발, 배송, 택배",0,㈜핏포,[회사차량有 / 4대보험] 밀키트 배송 기사님 구인,음식료·외식·프랜차이즈; 배송·택배·운송,관계없음,290000,학력무관,2021-09-02,2021
37732996,1년 이상,"PCB SMT OP, 메카트로닉스, 자동차",0,㈜다이든,[LG;현대 1차/기숙사/통근버스] PCB SMT OP / 검사 사원 인원 모집,,경력,290000,학력무관,2021-04-01,2021
38001050,,"건설자재, 건축자재, 금속",0,일광창호,샤시 금속 재료 생산 관리자 를 모집합니다.,,관계없음,290000,고졸,2021-05-01,2021
39090334,,"보험영업, 생명보험, 손해보험",0,디비손해보험㈜,DB손해보험 다이렉트 자동차보험 수원센터 아웃바운드 TM 상담사 모집 (설계사X),증권·보험·카드; 금융·보험영업; 아웃바운드TM,관계없음,289000,고졸,2021-09-03,2021
36962321,,"물류센터, 창고관리, 중장비운전",0,쿠팡풀필먼트서비스(유),여주쿠팡 셔틀운행 / 지게차 사원 품질관리센터 최대급여 371만원,,관계없음,289000,학력무관,2021-01-01,2021
38804481,,"상사, 물류, 자재통합",0,㈜현재산업,(주)현재산업 창고관리직 모집,,관계없음,287000,고졸,2021-08-01,2021
39587270,2년 이상,"뷔페, 음식료, 일식당",0,쿠우쿠우김포운양점,급구 쿠우쿠우 김포운양점 월급275-290만원 주방 핫파트;샐러드 신입및경력직원 모집합니다.,음식료·외식·프랜차이즈; 요리·영양·제과제빵·바리스타,경력,287000,학력무관,2021-11-02,2021
38530305,1년 이상,"홀써빙, 중식당, 식품판매",0,일일향,중식 레스토랑 홀써빙 구함,,경력,285000,학력무관,2021-07-01,2021
37261668,,"환경, 생산관리, 안전",0,HY산업,연봉3400/평택/안전감시단/아파트/경력자우대,,관계없음,285000,학력무관,2021-01-31,2021
38000747,,산업안전,0,에스오에스안전감시단,[ 경기광주 ] 광주 물류창고현장 주간 안전감시단 대원 모집,,신입,285000,학력무관,2021-05-01,2021
39571458,,"레스토랑, 외식, 패밀리레스토랑",0,성주무역,(신규오픈-패밀리레스토랑) 라라코스트 오산점 주방&홀직원 모집합니다. 경력자 우대,음식료·외식·프랜차이즈; 요리·영양·제과제빵·바리스타,관계없음,285000,고졸,2021-10-31,2021
39090466,,"커피숍, 매니저, 바리스타",0,레이크포레스트&백운메밀,레이크포레스트 바리스타 구합니다,음식료·외식·프랜차이즈; 요리·영양·제과제빵·바리스타,관계없음,285000,학력무관,2021-09-03,2021
38529764,1년 이상,"건설, 건설안전, 산업안전",0,프라이드 안전,경기파주 제일건설 현장 안전감시단 주간 모집,,경력,285000,학력무관,2021-07-01,2021
38806253,,"커피숍, 매니저, 바리스타",0,레이크포레스트&백운메밀,레이크포레스트 바리스타 구합니다,,관계없음,285000,학력무관,2021-08-02,2021
38804110,1년 이상,"호텔, 프런트",0,아우라호텔,안산 아우라 관광 호텔 여성 캐셔 모집,,경력,285000,고졸,2021-08-01,2021
38529784,1년 이상,"건설, 건설안전, 산업안전",0,프라이드 안전,경기 고양 백석동 현장 안전감시단 모집,,경력,285000,학력무관,2021-07-01,2021
38252735,,"부동산관리, 부동산컨설팅, 문서관리",0,제이에스디,[연3000/주5일] 관리/회계/인사관리/사무보조 정규직 사원모집,,관계없음,285000,고졸,2021-06-01,2021
39571283,,"양식당, 요리사, 조리사",0,더몰트하우스 서핑시티,[300만-270만] 이탈리안 레스토랑 주방직원 모집 판교 더몰트하우스,음식료·외식·프랜차이즈; 요리·영양·제과제빵·바리스타,관계없음,285000,학력무관,2021-10-31,2021
39527090,3년 이상,"건설, 노무, 4대보험",0,대동철강공업,회계.노무관리,건설·시공·토목·조경; 경리·회계·결산; 인사·노무·교육,경력,285000,대졸(2~3년),2021-11-02,2021
37745048,3년 이상,"제과제빵점, 카페, 제빵사",0,르빵드비,하남 르빵드비에서 함께하실 신입/경력 제빵사를 모집합니다.,,경력,285000,학력무관,2021-04-02,2021
39283083,,"안전, 품질관리, 환경관리",0,㈜더 미라클,고덕 삼성전자 안전담당자 사원모집/월급여 320만 이상,콜센터·아웃소싱·기타; 생산관리·공정관리·품질관리,관계없음,285000,학력무관,2021-10-03,2021
37464947,1년 이상,"홀써빙, 중식당, 식품판매",0,일일향,중식 레스토랑 홀써빙 구함,,경력,285000,학력무관,2021-02-28,2021
39090451,5년 이상,"공작기계, 기계조립, 포장기계",0,케이슈퍼실러,CNC 가공직 직원모집,기계·기계설비; 생산·제조·설비·조립,경력,285000,고졸,2021-09-03,2021
37465210,,"조리사, 양식당, 일식당",0,오지상함박스테이크 스타필드고양점,주방/주6일/스타필드고양/함박스테이크전문점,,관계없음,285000,학력무관,2021-02-28,2021
39067657,,"건설안전, 산업안전, 순찰",0,다솔,[전남/강진군]안전감시단(건설현장)모집합니다,건설·시공·토목·조경; 전기·소방·통신·안전; 시설·빌딩·경비·안전,관계없음,285000,학력무관,2021-09-01,2021
39321204,,"배송, 택배",0,파주조리봉일천20,(경동택배)업체물류배송 및 픽업업무 정직원을 모집합니다.,물류·운송·배송; 배송·택배·운송,관계없음,285000,학력무관,2021-10-02,2021
37468921,,"슈퍼바이저, 조리사, 메뉴개발",0,카츠바(KATSU BAR),[고양 스타필드] 푸드코트 (카츠바) 직원 및 파트타이머 모집,,관계없음,285000,학력무관,2021-03-02,2021
37887941,1년 이상,"어학원, 영어학원, 영어강사",0,잉글리쉬존어학원본원학원,[일산] 초중등 어학원 영어강사 (장기근속자 우대),,경력,285000,대졸(4년),2021-05-01,2021
38804088,1년 이상,"호텔, 프런트",0,아우라호텔,안산 아우라관광호텔 여성 캐셔 모집,,경력,285000,고졸,2021-08-01,2021
38819879,5년 이상,"양식당, 와인바, 일식당",0,㈜더몰트하우스컴퍼니,[300만-260만 양식조리사원 숙소가능] 판교 더몰트하우스,,경력,285000,학력무관,2021-08-03,2021
38529445,,"청소·미화, 빌딩관리, 주차관리",0,에스에이산업개발,월270만이상/SA산업개발/파주시/운정신도시/안전감시단/식사제공,,관계없음,285000,학력무관,2021-07-01,2021
37744665,,"가설설계, 건설안전, 공무",0,㈜서현코퍼레이션,건설업 안전시설물업체 기성담당 공무 모집,,관계없음,285000,대졸(2~3년),2021-04-02,2021
38002215,,"기계설비, 자동화설비, 생산직",0,㈜에이스원,[2교대/설비OP] 2교대/상여금200/주5일제/기숙사제공무상/월280만이상,,관계없음,285000,학력무관,2021-05-02,2021
39363936,,"물류, 물류관리, 물류센터",0,제이플러스,(주)제이플러스 야간물류;배송;입출고 관련 채용 件,물류·운송·배송; 유통·물류·재고; 배송·택배·운송,관계없음,285000,학력무관,2021-11-02,2021
37268102,,"부동산관리, 부동산컨설팅, 문서관리",0,제이에스디,[연3000/주5일] 관리/회계/인사관리/사무보조 정규직 사원모집,,관계없음,285000,고졸,2021-02-02,2021
38077912,,"디스플레이, 반도체, 반도체장비",0,시리우스㈜,[송탄; 장당공단] 2교대 생산직 사원 모집,,신입,285000,학력무관,2021-08-03,2021
39573023,,"건설안전, 산업안전, 순찰",0,다솔에스엔씨,[서울/송파구/가락시장]안전감시단(건설현장)모집합니다,건설·시공·토목·조경; 전기·소방·통신·안전; 시설·빌딩·경비·안전,관계없음,285000,학력무관,2021-11-01,2021
39322923,,"양식당, 요리사, 조리사",0,더몰트하우스 서핑시티,[월280만-320만] 판교 양식조리사원 모집,음식료·외식·프랜차이즈; 요리·영양·제과제빵·바리스타,관계없음,285000,학력무관,2021-10-03,2021
38277814,,"부동산관리, 부동산컨설팅, 문서관리",0,제이에스디,[연3000/주5일] 관리/회계/인사관리/사무보조 정규직 사원모집,,관계없음,285000,고졸,2021-06-03,2021
39323112,,"금속가공, 용접, 제조",0,지앤티컴퍼니,인테리어행거 용접사 모집 [신입; 경력],금속·재료·자재; 생산·제조·설비·조립,관계없음,285000,학력무관,2021-10-03,2021
